player_id,player_name,team_id,team,team_code,position_raw
367981,DOUGLAS SANTOS,43924,Brazil,BRA,Defender
394456,FABINHO,43924,Brazil,BRA,Midfielder
429392,DANILO SANTOS,43924,Brazil,BRA,Midfielder
463746,ENDRICK,43924,Brazil,BRA,Forward
411726,LUCAS PAQUETA,43924,Brazil,BRA,Midfielder
448420,LUIZ HENRIQUE,43924,Brazil,BRA,Forward
430597,GABRIEL MARTINELLI,43924,Brazil,BRA,Forward
395427,EDERSON,43924,Brazil,BRA,Goalkeeper
430594,ROGER IBANEZ,43924,Brazil,BRA,Defender
519836,IGOR THIAGO,43924,Brazil,BRA,Forward
475036,RAYAN,43924,Brazil,BRA,Forward
364752,VOZINHA,43850,Cabo Verde,CPV,Goalkeeper
297266,STOPIRA,43850,Cabo Verde,CPV,Defender
409241,DINEY BORGES,43850,Cabo Verde,CPV,Defender
477770,PICO LOPES,43850,Cabo Verde,CPV,Defender
477831,LOGAN COSTA,43850,Cabo Verde,CPV,Defender
477852,KEVIN PINA,43850,Cabo Verde,CPV,Midfielder
477856,JOVANE CABRAL,43850,Cabo Verde,CPV,Midfielder
477855,JOAO PAULO,43850,Cabo Verde,CPV,Midfielder
477862,GILSON BENCHIMOL,43850,Cabo Verde,CPV,Forward
401894,JAMIRO MONTEIRO,43850,Cabo Verde,CPV,Midfielder
373344,GARRY RODRIGUES,43850,Cabo Verde,CPV,Midfielder
407114,MARCIO ROSA,43850,Cabo Verde,CPV,Goalkeeper
477832,SIDNY LOPES CABRAL,43850,Cabo Verde,CPV,Defender
477827,DEROY DUARTE,43850,Cabo Verde,CPV,Midfielder
480966,LAROS DUARTE,43850,Cabo Verde,CPV,Midfielder
494313,YANNICK SEMEDO,43850,Cabo Verde,CPV,Midfielder
433724,WILLY SEMEDO,43850,Cabo Verde,CPV,Midfielder
494314,TELMO ARCANJO,43850,Cabo Verde,CPV,Midfielder
482782,DAILON LIVRAMENTO,43850,Cabo Verde,CPV,Forward
355642,RYAN MENDES,43850,Cabo Verde,CPV,Forward
401893,NUNO DA COSTA,43850,Cabo Verde,CPV,Midfielder
477847,STEVEN MOREIRA,43850,Cabo Verde,CPV,Defender
406281,CJ DOS SANTOS,43850,Cabo Verde,CPV,Goalkeeper
482783,WAGNER PINA,43850,Cabo Verde,CPV,Defender
482780,KELVIN PIRES,43850,Cabo Verde,CPV,Defender
477849,HELIO VARELA,43850,Cabo Verde,CPV,Midfielder
441255,Dayne ST. CLAIR,43899,Canada,CAN,Goalkeeper
441252,Alistair JOHNSTON,43899,Canada,CAN,Defender
514070,Alfie JONES,43899,Canada,CAN,Defender
480322,Luc DE FOUGEROLLES,43899,Canada,CAN,Defender
448402,Joel WATERMAN,43899,Canada,CAN,Defender
448390,Mathieu CHOINIERE,43899,Canada,CAN,Midfielder
433635,Stephen EUSTAQUIO,43899,Canada,CAN,Midfielder
441258,Ismael KONE,43899,Canada,CAN,Midfielder
390670,Cyle LARIN,43899,Canada,CAN,Forward
441257,Jonathan DAVID,43899,Canada,CAN,Forward
441259,Liam MILLAR,43899,Canada,CAN,Midfielder
486929,Tani OLUWASEYI,43899,Canada,CAN,Forward
371958,Derek CORNELIUS,43899,Canada,CAN,Defender
448411,Jacob SHAFFELBURG,43899,Canada,CAN,Midfielder
466585,Moise BOMBITO,43899,Canada,CAN,Defender
331732,Maxime CREPEAU,43899,Canada,CAN,Goalkeeper
430138,Tajon BUCHANAN,43899,Canada,CAN,Forward
463817,Owen GOODMAN,43899,Canada,CAN,Goalkeeper
412144,Alphonso DAVIES,43899,Canada,CAN,Defender
466687,Ali AHMED,43899,Canada,CAN,Forward
370986,Jonathan OSORIO,43899,Canada,CAN,Midfielder
431696,Richie LARYEA,43899,Canada,CAN,Defender
485064,Niko SIGUR,43899,Canada,CAN,Defender
493970,Promise DAVID,43899,Canada,CAN,Forward
423941,Nathan SALIBA,43899,Canada,CAN,Midfielder
423933,Jayden Nelson,43899,Canada,CAN,Forward
228686,David OSPINA,43926,Colombia,COL,Goalkeeper
431200,Daniel MUNOZ,43926,Colombia,COL,Defender
441622,Jhon LUCUMI,43926,Colombia,COL,Defender
315614,Santiago ARIAS,43926,Colombia,COL,Defender
470759,Kevin CASTANO,43926,Colombia,COL,Midfielder
473050,Richard RIOS,43926,Colombia,COL,Midfielder
